Date,Close,Predictions,Percentage,High,Low
09/10/2014,161.25,146.27803,0.398756,163.35,160.45
08/10/2014,160.25,146.9283,0.44454336,161,157.75
07/10/2014,158.8,147.60072,0.45765638,161.65,158
01/10/2014,158.85,148.11089,0.3456354,162,158.4
30/09/2014,159.35,148.48076,0.24973154,162.4,157.6
29/09/2014,159,148.76973,0.19462109,161.9,158.3
26/09/2014,159.65,148.95534,0.12476444,161.95,154.45
25/09/2014,160.3,149.11449,0.106847286,165.65,159.1
24/09/2014,164.75,149.29404,0.1204133,166.75,161.8
23/09/2014,164.45,149.81813,0.35104752,171.8,163.65
22/09/2014,170.6,150.47021,0.43524504,172,167.05
19/09/2014,168.6,151.62599,0.76811314,172.9,164.1
18/09/2014,164.85,152.80835,0.7797837,165.7,160.05
17/09/2014,161.6,153.60735,0.5228758,162.7,156.9
16/09/2014,159.45,153.85431,0.16077757,167.6,158
15/09/2014,167.2,153.58655,-0.17403364,170.85,166.35
12/09/2014,169.55,153.65408,0.043976307,171.35,166.4
11/09/2014,167.4,154.08766,0.2821803,169.85,161
10/09/2014,162.55,154.53186,0.2882719,165,160.5
09/09/2014,165.2,154.56697,0.02272129,166.25,162.6
08/09/2014,164.6,154.57678,0.006341934,166.5,162.5
05/09/2014,162.25,154.51709,-0.03861785,164.5,160.05
04/09/2014,162.2,154.24002,-0.17931461,163.9,154
03/09/2014,154.25,153.86261,-0.24468899,156.8,153.55
02/09/2014,155.4,152.83612,-0.6671488,156.85,153
01/09/2014,153.9,151.62848,-0.79015493,154.35,151.1
28/08/2014,150.5,150.30373,-0.8736849,154,150
27/08/2014,153.1,148.77156,-1.0193825,154.85,152.5
26/08/2014,152.95,147.46603,-0.87753534,155.5,151.35
25/08/2014,155.45,146.39735,-0.7246971,157.8,155
22/08/2014,155.45,145.76088,-0.43475628,158.5,155
21/08/2014,157.1,145.43387,-0.22434592,160.4,156.2
20/08/2014,158.5,145.44614,0.008440018,159.5,156.25
19/08/2014,156.5,145.76115,0.21659136,157.7,154.9
18/08/2014,154.4,146.06607,0.20918846,155.35,151.55
14/08/2014,152.1,146.17215,0.0726223,152.9,150.75
13/08/2014,151.15,145.96927,-0.13879538,154.3,150.3
12/08/2014,154.45,145.5263,-0.30346513,154.8,151.5
11/08/2014,151.9,145.23427,-0.20067692,153,150.7
08/08/2014,150.65,144.85536,-0.2608955,152.9,149.55
07/08/2014,154.15,144.36737,-0.3368795,155.1,152.65
06/08/2014,153.8,144.12943,-0.16481876,156.5,153.5
05/08/2014,154.9,144.02896,-0.06970167,155.6,152.5
04/08/2014,155.5,144.10527,0.05297661,155.9,153.75
01/08/2014,154.3,144.32352,0.15144348,156.85,151.75
31/07/2014,153.5,144.5114,0.13017654,155.15,152.5
30/07/2014,152.9,144.60197,0.062680244,155.95,152.45
28/07/2014,155.2,144.57872,-0.016081333,156.2,152.05
25/07/2014,153.5,144.6667,0.060856342,157.4,152.55
24/07/2014,156.55,144.67738,0.007379055,157.9,155.95
23/07/2014,156.8,144.87997,0.14003515,159.7,155.7
22/07/2014,158.7,145.19308,0.21611452,161.4,156.7
21/07/2014,159.2,145.69151,0.343287,162.45,158.75
18/07/2014,160.65,146.29114,0.41157007,163,157.7
17/07/2014,160.35,147.00876,0.49054623,161,156.25
16/07/2014,157.2,147.70541,0.4738927,157.7,153.2
15/07/2014,153.75,148.08063,0.25402308,154,151.5
14/07/2014,151.8,147.96623,-0.07725358,153.2,148.5
11/07/2014,149.8,147.42499,-0.36578774,156.3,149.15
10/07/2014,155.45,146.5286,-0.60803294,161.35,149.25
09/07/2014,154.95,145.94617,-0.3974855,159.6,152.75
08/07/2014,158.7,145.55887,-0.2653718,167.65,157.75
07/07/2014,167.05,145.61949,0.041651726,169.6,166.65
04/07/2014,167.85,146.58707,0.66444874,171.2,166
03/07/2014,169.2,148.061,1.0055065,175,168.35
02/07/2014,174.35,149.80959,1.1809826,176.8,173.1
01/07/2014,174.8,151.96396,1.4380693,176.6,171.5
30/06/2014,172.75,154.18755,1.4632344,175,172.05
27/06/2014,171.1,156.08292,1.2292624,172.95,168
26/06/2014,167.8,157.47882,0.89433193,169.65,165.6
25/06/2014,169.5,158.18817,0.45044422,170.75,166.3
24/06/2014,167.3,158.56969,0.24118423,169.5,165.5
23/06/2014,167.95,158.5461,-0.014877319,171.2,164.8
20/06/2014,162.35,158.34956,-0.12395978,165.4,161.85
19/06/2014,162.9,157.62888,-0.4551232,165.35,161.3
18/06/2014,163.55,156.7296,-0.5704999,169,162.1
17/06/2014,167.05,155.86234,-0.55335164,167.95,163.7
16/06/2014,166,155.37521,-0.312531,166.7,161.6
13/06/2014,163.7,155.07283,-0.19461513,173.95,161.15
12/06/2014,168.65,154.73302,-0.21913052,171.5,165.65
11/06/2014,169.35,154.79926,0.042808056,176.1,165.05
10/06/2014,174.85,155.14444,0.2229929,177.15,166.1
09/06/2014,171.2,156.05989,0.59006214,175.45,170.1
06/06/2014,171.1,156.92781,0.5561471,176.8,155.2
05/06/2014,154.05,157.68733,0.48398972,154.8,151.15
04/06/2014,153,156.95308,-0.46563745,154,150
03/06/2014,150.3,155.35928,-1.0154605,151.85,147.75
02/06/2014,147.5,153.18956,-1.3965845,149.9,146.6
30/05/2014,149.1,150.66939,-1.6451359,151,145.35
29/05/2014,148.9,148.30739,-1.5676677,154.5,148
28/05/2014,156.25,146.23941,-1.3943851,158.2,154.75
27/05/2014,156.4,145.10396,-0.77643394,157.8,153
26/05/2014,156.45,144.62613,-0.32930374,163,152.75
23/05/2014,157.55,144.58652,-0.027388334,158.45,155.1
22/05/2014,155.55,144.89072,0.21039248,157.4,153.4
21/05/2014,153.1,145.20757,0.21867752,155.6,151.55
20/05/2014,153.45,145.30786,0.06906986,154.85,151.05
19/05/2014,150.7,145.29216,-0.010806322,151.6,145.25
16/05/2014,144.75,144.98872,-0.20884275,147.5,143.25
15/05/2014,144.2,144.08308,-0.6246269,148.05,143.85
14/05/2014,147.3,142.86569,-0.84492564,148.5,145.4
13/05/2014,146.4,141.80894,-0.7396817,149.7,145.5
12/05/2014,144.55,140.87048,-0.66177845,146.7,144.15
09/05/2014,145,139.94879,-0.65428615,145.95,142.1
08/05/2014,142.45,139.15614,-0.5663872,145.55,142.1
07/05/2014,144.6,138.31503,-0.6044388,146.4,144.15
06/05/2014,145.1,137.68437,-0.45595765,148.3,144.9
05/05/2014,146.7,137.26794,-0.30245185,148.6,146.4
02/05/2014,148.35,137.13509,-0.09678602,150.9,147.8
30/04/2014,149.45,137.30408,0.12322664,153.5,146.5
29/04/2014,151.3,137.71689,0.30065775,154.1,151
28/04/2014,152.85,138.37457,0.47756433,154.55,151.75
25/04/2014,152.95,139.23213,0.61973333,157,151.85
23/04/2014,156.1,140.13446,0.6480694,159.4,155.05
22/04/2014,157.85,141.22075,0.7751703,159.3,156.15
21/04/2014,156.15,142.44766,0.8687854,160,155.55
17/04/2014,157.45,143.5131,0.74795485,158.2,151
16/04/2014,150.5,144.48752,0.6789684,153.95,150
15/04/2014,153.05,144.77802,0.20105839,154.9,151.1
11/04/2014,152.75,144.84315,0.044989586,154,151.75
10/04/2014,153.1,144.74178,-0.069993734,155.3,152.1
09/04/2014,154.4,144.58273,-0.10988116,155.95,152.5
07/04/2014,151.45,144.50862,-0.051259995,152.5,148.25
04/04/2014,152.2,144.2665,-0.16754866,153.8,150.15
03/04/2014,151.55,144.01248,-0.17607212,154.3,149.4
02/04/2014,153.5,143.72493,-0.1996696,155.65,152.1
01/04/2014,154.25,143.59703,-0.088989735,154.75,148.8
31/03/2014,150.05,143.63249,0.024700165,152.7,148.1
28/03/2014,148,143.43883,-0.13483167,148.6,142.3
27/03/2014,141.8,142.97495,-0.32340288,143.75,141.3
26/03/2014,142.75,141.9182,-0.7391155,144.8,142.25
25/03/2014,142.9,140.686,-0.868243,144,142.4
24/03/2014,142.85,139.47046,-0.86401105,144.85,142.5
22/03/2014,143.65,138.37256,-0.7871926,144.15,143.2
21/03/2014,143.4,137.50604,-0.6262183,146,142.45
20/03/2014,141.4,136.83583,-0.48740506,143.2,140.7
19/03/2014,141.3,136.19072,-0.4714489,143.8,141.1
18/03/2014,143.15,135.61021,-0.42624474,144.8,142.55
14/03/2014,142.7,135.25612,-0.26111007,143.4,141
13/03/2014,142.55,135.02985,-0.16729236,146.9,141.9
12/03/2014,145.65,134.88622,-0.10637045,147.5,145.15
11/03/2014,145.15,135.03523,0.11047125,146,143
10/03/2014,143.8,135.30199,0.19754171,145.1,142.25
07/03/2014,143.3,135.51057,0.15416145,144.35,141.3
06/03/2014,142.55,135.62514,0.08454323,143,140.15
05/03/2014,140.9,135.61333,-0.008708239,142.25,139.45
04/03/2014,140.4,135.4006,-0.15686154,141.15,135.9
03/03/2014,135.95,135.04933,-0.25942922,141,135.25
28/02/2014,139.7,134.31133,-0.54647326,142.15,139.15
26/02/2014,139.8,133.69489,-0.45896173,141.9,139.1
25/02/2014,141.2,133.21059,-0.36224127,143.55,141
24/02/2014,142.7,132.95564,-0.19138455,143,141.8
21/02/2014,142,132.97281,0.012910366,143,141.2
20/02/2014,141.1,133.09702,0.0934124,141.95,139.15
19/02/2014,140.35,133.20532,0.08137226,141.75,139.6
18/02/2014,140.2,133.23582,0.022900105,140.95,138.35
17/02/2014,138.9,133.20366,-0.024139881,141.35,137.7
14/02/2014,140.55,133.03738,-0.12483001,142.4,139.1
13/02/2014,141.75,132.9297,-0.08094311,144.85,141.15
12/02/2014,144.05,132.95515,0.019145012,145.9,143.5
11/02/2014,144.85,133.23067,0.20722151,145.85,143.05
10/02/2014,143.6,133.69019,0.34490824,144.5,142.7
07/02/2014,143.35,134.12358,0.32417774,144.5,141.8
06/02/2014,141.15,134.48326,0.26817322,144.3,140.15
05/02/2014,143.05,134.59879,0.085902214,144.85,142.55
04/02/2014,143.15,134.7023,0.07690191,143.7,138.5
03/02/2014,140.7,134.79506,0.06886721,142.95,140
31/01/2014,141,134.68933,-0.07843375,143,139.65
30/01/2014,140.45,134.5004,-0.14027357,144.75,139.7
29/01/2014,142.15,134.23761,-0.19537807,144.4,139.6
28/01/2014,138.95,134.08429,-0.11421442,143,138.4
27/01/2014,141.35,133.76904,-0.23511052,144.9,140.3
24/01/2014,144.25,133.5699,-0.14886856,147.85,143.65
23/01/2014,148.2,133.67448,0.07829666,150.35,147.5
22/01/2014,149.85,134.24864,0.429523,152.2,148.1
21/01/2014,147.85,135.17575,0.69059134,150.1,147.55
20/01/2014,148.3,136.07797,0.6674409,149.3,146.25
17/01/2014,146.2,136.9179,0.61722994,150.25,145.8
16/01/2014,149.05,137.48157,0.41168928,152.9,148.5
15/01/2014,152.05,138.047,0.41127205,152.85,150.4
14/01/2014,152.05,138.7886,0.53721666,154.5,150.3
13/01/2014,152.9,139.56807,0.5616188,156.8,151.9
10/01/2014,155.95,140.36769,0.57293177,159.95,154.75
09/01/2014,157.25,141.34238,0.6943822,158.5,156.15
08/01/2014,157.1,142.43234,0.771153,159.3,156
07/01/2014,156.5,143.48196,0.736928,158.2,155.2
06/01/2014,156.8,144.36804,0.6175518,158.6,155.1
03/01/2014,156.35,145.10172,0.5082011,157,153.65
02/01/2014,154.95,145.64455,0.3741026,161.75,153.75
01/01/2014,160.5,145.91943,0.18874407,162.65,159.9
31/12/2013,160.45,146.44676,0.36138296,161.5,158.15
30/12/2013,159.8,147.06839,0.42446852,160.9,155.25
27/12/2013,158.05,147.64517,0.39218664,162.85,156.35
26/12/2013,161.05,148.01085,0.24766922,166.1,158
24/12/2013,157.25,148.45708,0.3014803,157.65,153.65
23/12/2013,154.7,148.61092,0.103628635,156.5,153.35
20/12/2013,153.1,148.38829,-0.14980435,153.85,146.6
19/12/2013,147.5,147.84404,-0.36677718,149.4,145.9
18/12/2013,148.2,146.72923,-0.7540405,148.75,145.25
17/12/2013,144.75,145.44481,-0.8753717,147.1,144.1
16/12/2013,143.45,143.91217,-1.0537624,145.5,142.2
13/12/2013,145.15,142.28151,-1.1330962,147.5,145
12/12/2013,146.75,140.87437,-0.98897815,148.45,146.2
11/12/2013,147,139.8484,-0.7282853,147.95,146.25
10/12/2013,147.45,139.15994,-0.49229264,149,146.7
09/12/2013,146.7,138.76768,-0.28187633,149.1,145.3
06/12/2013,146.2,138.52647,-0.17382503,147.75,145.8
05/12/2013,146.65,138.35513,-0.1236856,148.7,146.05
04/12/2013,145.55,138.27011,-0.06145239,148.4,145.1
03/12/2013,146.8,138.15486,-0.083351135,149.3,146.25
02/12/2013,149.3,138.12383,-0.02246499,150.9,149
29/11/2013,148.9,138.33098,0.1499772,150.1,147.55
28/11/2013,147.65,138.62614,0.2133727,148.35,145
27/11/2013,145.05,138.85025,0.16165972,147.6,144
26/11/2013,145.5,138.81178,-0.027704239,146.8,141.6
25/11/2013,142.4,138.65437,-0.11339784,143.75,140.8
22/11/2013,141.8,138.20164,-0.32651424,145.2,141.1
21/11/2013,143.65,137.57127,-0.45612454,146.8,143.1
20/11/2013,145.35,137.03238,-0.39172173,147.8,144.75
19/11/2013,144.55,136.72435,-0.224787,149.2,144.05
18/11/2013,147.7,136.52098,-0.14874339,148.35,142.5
14/11/2013,143.95,136.63863,0.086176395,146.9,142.8
13/11/2013,144.3,136.6488,0.007450581,155,141.1
